Puertos conocidos: https://www.ionos.es/digitalguide/servidores/know-how/puertos-tcp-puertos-udp/

Puerto	TCP	UDP	Nombre	Descripción
1	✔	✔	tcpmux	Multiplexor TCP
5	✔	✔	rje	Entrada de tarea remota (remote job entry)
7	✔	✔	echo	Protocolo Echo
9	✔	✔	discard	Protocolo Discard (evaluación de conexiones)
11	✔	✔	systat	Información del sistema (enumera los puertos conectados)
13	✔	✔	daytime	Protocolo Daytime: indica fecha y hora
17	✔	✔	qotd	Envía la cita del día (quote of the day)
18	✔	✔	msp	Protocolo de envío de mensajes
19	✔	✔	chargen	Protocolo Chargen: envía una cadena infinita de caracteres
20	✔	 	ftp-data	Transmisión de datos FTP
21	✔	✔	ftp	Conexión FTP
22	✔	✔	ssh	Servicio Secure Shell
23	✔	 	telnet	Servicio Telnet
25	✔	 	smtp	Simple Mail Transfer Protocol
37	✔	✔	time	Protocolo de tiempo legible de forma mecanizada
39	✔	✔	rlp	Protocolo de envío de recursos (Resource Location Protocol)
42	✔	✔	nameserver	Servicio de nombres
43	✔	 	nicname	Servicio de directorio WHOIS
49	✔	✔	tacacs	Terminal Access Controller Access Control System
50	✔	✔	re-mail-ck	Protocolo de verificación de correo remoto (Remote Mail Checking)
53	✔	✔	domain	Resolución de nombres por DNS
67	 	✔	bootps	Protocolo Bootstrap (servidor)
68	 	✔	bootpc	Protocolo Bootstrap (cliente)
69	 	✔	tftp	Protocolo Trivial de Transferencia de Ficheros (Trivial File Transfer Protocol)
70	✔	 	gopher	Búsqueda de documentos
71	✔	 	genius	Protocolo Genius
79	✔	 	finger	Proporciona información de contacto de usuarios
80	✔	 	http	Protocolo de Transferencia de HiperTexto (Hypertext Transfer Protocol)
81	✔	 	 	Torpark: Onion-Routing (no oficial)
82	 	✔	 	Torpark: Control (no oficial)
88	✔	✔	kerberos	Sistema de autenticación de red
101	✔	 	hostname	Servicios de nombres de host (NIC Host Name)
102	✔	 	Iso-tsap	Protocolo ISO-TSAP
105	✔	✔	csnet-ns	Servidor de correo
107	✔	 	rtelnet	Telnet remoto
109	✔	 	pop2	Post Office Protocol v2 para comunicación de correo electrónico
110	✔	 	pop3	Post Office Protocol v3 para comunicación de correo electrónico
111	✔	✔	sunrpc	Protocolo RPC para NFS
113	 	✔	auth	(Antiguo) servicio de autenticación
115	✔	 	sftp	Protocolo de transferencia de archivos seguros o Simple File Transfer Protocol (versión simplificada de FTP)
117	✔	 	uucp-path	Transmisión de datos entre sistemas Unix
119	✔	 	nntp	Transmisión se noticias en Newsgroups
123	 	✔	ntp	Protocolo de sincronización de tiempo
137	✔	✔	netbios-ns	NETBIOS Servicio de nombres
138	✔	✔	netbios-dgm	NETBIOS Servicio de envío de datagramas
139	✔	✔	netbios-ssn	NETBIOS Servicio de sesiones
143	✔	✔	imap	Internet Message Access Protocol para comunicación de correo electrónico
161	 	✔	snmp	Simple Network Management Protocol
162	✔	✔	snmptrap	Simple Network Management Protocol Trap
177	✔	✔	xdmcp	X Display Manager
179	✔	 	bgp	Border Gateway Protocol
194	✔	✔	irc	Internet Relay Chat
199	✔	✔	smux	SNMP UNIX Multiplexer
201	✔	✔	at-rtmp	Enrutamiento AppleTalk
209	✔	✔	qmtp	Quick Mail Transfer Protocol
210	✔	✔	z39.50	Sistema de información bibliográfico
213	✔	✔	ipx	Internetwork Packet Exchange
220	✔	✔	imap3	IMAP v3 para comunicación de correo electrónico
369	✔	✔	rpc2portmap	Coda Filesystem Portmapper
370	✔	✔	codaauth2	Servicio Coda Filesystem Authentication
389	✔	✔	ldap	Lightweight Directory Access Protocol
427	✔	✔	svrloc	Service Location Protocol
443	✔	 	https	HTTPS (HTTP a través de SSL/TLS)
444	✔	✔	snpp	Simple Network Paging Protocol
445	✔	 	microsoft-ds	SMB a través de TCP/IP
464	✔	✔	kpasswd	Modificación de contraseña para Kerberos
500	 	✔	isakmp	Protocolo de seguridad
512	✔	 	exec	Remote Process Execution
512	 	✔	comsat/biff	Mail Client y Mail Server
513	✔	 	login	Inicio de sesión en ordenador remoto
513	 	✔	who	Whod User Logging Daemon
514	✔	 	shell	Remote Shell
514	 	✔	syslog	Servicio Unix System Logging
515	✔	 	printer	Servicios de impresión Line Printer Daemon
517	 	✔	talk	Talk Remote Calling
518	 	✔	ntalk	Network Talk
520	✔	 	efs	Extended Filename Server
520	 	✔	router	Routing Information Protocol
521	 	✔	ripng	Routing Information Protocol para IPv6
525	 	✔	timed	Servidor de tiempo
530	✔	✔	courier	Courier Remote Procedure Call
531	✔	✔	conference	Chat a través de AIM y IRC
532	✔	 	netnews	Servicio Netnews Newsgroup
